année;caractère moyen (rapport entre largeur x longueur de la molette / nombre de motifs horizontaux x nombre de motifs verticaux;commentaire;DESSIN n° rempli lorsque le décor à la molette est associé à une forme de vase dessiné;dévellopé;égal type;équi type;Fait;INDIVIDU;largeur;longueur;LOT;molette référence;N° enregistrement;N° isolation 1;N° PERIODE;N° PHASE;N° SEQUENCE;nbre motifs h;nbre motifs v;nom du décor;non. Molette non dessiné (encrage);oui. Molette dessiné (encrage);position décor;site;Tombe;TYPE DE DÉCOR;US;Zone
1997 ;0,07 ;;;Incomplet;;;507;;0,7;>3,5;LOT;;1087;;9.2;1377;3105;>11;3;losanges;non;;épaule;45 234 093;;molette;5057;5
1997 ;0,07 ;;;Incomplet;;;507;INDIVIDU;0,7;>3,5;;;1088;;9.2;1377;3105;>11;3;losanges;non;;épaule;45 234 093;;molette;5057;5
1997 ;0,08 ;;;Incomplet;;;507;INDIVIDU;0,7;>3,5;;;1089;;9.2;1377;3105;>16;2;carrés;non;;épaule;45 234 093;;molette;5057;5
1997 ;0,07 ;;;Incomplet;;;507;INDIVIDU;>0,6;>1,7;;;1143;;9.2;1378;3100;>7;>2;batons;non;;épaule;45 234 093;;molette;5047;5
1997 ;0,09 ;;;Incomplet;AIND;;505;INDIVIDU;1;4,1;;non ;1196;5034-1;7.1;1359;3166;12;4;losanges;;oui;épaule;45 234 093;;molette;5034;5
1997 ;0,09 ;;;Incomplet;;;506;INDIVIDU;0,7;>2,1;;;1213;;9.2;1396;3355;>8;2;batons;non;;épaule;45 234 093;;molette;5017;5
1997 ;0,07 ;;;Incomplet;;;513;INDIVIDU;0,8;>2,2;;;1217;;7.1;1361;3158;>6;4;losanges;non;;épaule;45 234 093;;molette;5107;5
1997 ;;;;incomplet;;;501;INDIVIDU;;;;;1237;;10.1;1382;3096;;;batons;non;;anse;45 234 093;;molette;5003;5
1997 ;0,17 ;;;Complet;G25;;502;INDIVIDU;0,8;4,3;;oui;1310;5099-2;7.1;1400;3193;10;2;carrés;;oui;épaule;45 234 093;;molette;5099;5
1997 ;0,28 ;;;Incomplet;;;210;INDIVIDU;1,6;>3,2;;;1370;;7.2;242;174;>6;3;carrés;non;;panse;45 234 093;;molette;2189;2
1997 ;0,01 ;peut-être plusieurs passage de molette.;;Complet;IND;;210;INDIVIDU;>1,2;4,45;;non ;1402;2179-1;7.2;242;174;18;3 ou 5(?);carrés;;oui;épaule;45 234 093;;molette;2179;2
1997 ;0,25 ;;;Incomplet;GI3;;206;INDIVIDU;0,8;>3,1;;oui;1475;2197-3;7.1;240;178;>5;2;carrés et croix;;oui;épaule;45 234 093;;molette;2197;2
1997 ;1,37 ;;;Incomplet;;;207;INDIVIDU;1,3;>4,2;;;1496;2194-2;7.2;243;172;>4;1;oves;;oui;épaule;45 234 093;;molette;2194;2
1997 ;?;tesson très errodé;;Incomplet;;;207;INDIVIDU;1,3;inconnue;;;1497;;7.2;243;172;inconnu;1;chevrons;non;;panse;45 234 093;;molette;2194;2
1997 ;0,21 ;;;Incomplet;;;208;INDIVIDU;1,15;>2,9;;;1516;;8;245;168;>8;2;chevrons;non;;inconnu;45 234 093;;molette;2138;2
1997 ;0,23 ;;;Incomplet;;;208;INDIVIDU;1,00;>3,5;;;1524;;8;245;168;>5;3;triangles et losanges;non;;épaule;45 234 093;;molette;2103;2
1997 ;;;;;;;211;INDIVIDU;;;;;1529;;?;?;?;;;losanges;non;;panse;45 234 093;;bandes rapportées molettées;2115;2
1997 ;0,12 ;au moins trois passages successifs qui empèche une bonne lisibilité;;Incomplet;CI6;;218;INDIVIDU;>0,3;>=4,9;;oui;1571;2084-3;7.1;235;189;>=12;>=1;batons et croix;;oui;panse;45 234 093;;molette;2084;2
